Начинающий специалист;Нижний Тагил;МТС;
Менеджер по продаже структурированных кабельных систем и систем видеонаблюдения;Екатеринбург;Крона-КС;Прямые продажи, Ведение переговоров, Поиск и привлечение клиентов, Проведение презентаций, Развитие продаж, Телефонные переговоры, 
Investment advisor (Private Banking);Екатеринбург;АТОН;
Менеджер по продажам в Связной;Екатеринбург;Связной;
Менеджер по продажам компьютерной техники;Екатеринбург;Крона-КС;Знание IT технологий, Ведение переговоров, Активные продажи, B2B Продажи, Проведение презентаций, 
"Менеджер по продажам (в салон ""Связной"")";Екатеринбург;Связной;
Контролер-Грузчик в продуктовый магазин (улица Чапаева);Екатеринбург;Эвэнкс;
Ведущий инженер-конструктор;Екатеринбург;Машиностроительный завод им. Воровского;Compass 3D, Проектно-конструкторская деятельность, ЕСКД, 
Финансовый консультант;Екатеринбург;АТОН;
Оператор колл-центра;Екатеринбург;Смартер;
Бухгалтер по расчету заработной платы;Екатеринбург;НПО автоматики;
Подработка_Менеджер по работе с клиентами;Екатеринбург;МТС;
Заместитель главного геолога;Нижняя Тура;Подразделение ООО Штайгер г. Екатеринбург;Производственное планирование, Работа с базами данных, MS Access, Оперативное планирование, 
Кладовщик / Комплектовщик;Нижние Серги;Пятёрочка;
Кладовщик / Комплектовщик;Лесной;Пятёрочка;
Менеджер проектов внедрения MMP;Екатеринбург;Восточный Ветер;MS Project, Деловая переписка, Английский язык, Офисная техника, MS Visio, 
Водитель-экспедитор (доставка товаров до торговых объектов);Красноуфимск;МАГНИТ, Розничная сеть;
Врач-педиатр внебюджетного приема;Екатеринбург;ГАУЗ СО Областная детская клиническая больница;
Кладовщик / Комплектовщик;Нижний Тагил;Пятёрочка;
Риэлтор (Менеджер по продаже недвижимости/ агент);Екатеринбург;ОН ПЕРСПЕКТИВА24 - Екатеринбург;Навыки продаж, Лидерство, Клиентоориентированность, Обучаемость, Работа с большим объемом информации, Организованность, Грамотная речь, 
Java-разработчик;Екатеринбург;Компания Максим (maxim);Java, Linux, MS SQL Server, SQL, Eclipse, 
Кредитный специалист;Екатеринбург;Связной;
Продавец-универсал;Екатеринбург;Красное & Белое, розничная сеть;Работа с кассой, Пользователь ПК, Активные продажи, Работа в команде, Работа с возражениями, Консультирование, Мерчандайзинг, Инкассация, Навыки продаж, Прямые продажи, 
Системный администратор;Екатеринбург;МОТИВ, телекоммуникационная группа;TCP/IP, OC MS Windows, Microsoft, Active Directory, ITIL, ITSM, MS Office, Администрирование сетевого оборудования, 
Системный инженер;Екатеринбург;Уральский центр систем безопасности;Active Directory, Администрирование серверов Windows, DHCP, Настройка DNS, Настройка сетевых подключений, Настройка почтовых серверов, Ms Exchange Server, Настройка ПО, Модель OST, IP-адресация, Администрирование сетевого оборудования, 
Ведущий специалист по продажам;Екатеринбург;Факторинговая компания НФК;
Кладовщик / Комплектовщик;Талица;Пятёрочка;
Кладовщик / Комплектовщик;Камышлов;Пятёрочка;
Java to Scala-разработчик;Екатеринбург;Тинькофф;
Системный аналитик (Дело Банк);Екатеринбург;СКБ ЛАБ;Scrum, MySQL, Разработка технических заданий, Системный анализ, 
Полицейский (водитель) оперативной роты полиции;Первоуральск;5 рота Полка ППСП УМВД России по г. Екатеринбург;
Специалист по нормированию труда;Екатеринбург;Группа СВЭЛ;Нормирование труда, Работа в команде, Adobe Lightroom, 
Секретарь на ресепшн;Нижний Тагил;Рекламно-производственная компания Ником Реклама;Офисная техника, Грамотность, Телефонные переговоры, Документооборот, Прием и распределение телефонных звонков, Грамотная речь, Работа с оргтехникой, обработка входящей корреспонденции, Входящая корреспонденция, исходящая корреспонденция, Поддержка работы офиса, 
Полицейский (водитель) оперативной роты полиции;Первоуральск;5 рота Полка ППСП УМВД России по г. Екатеринбург;
Кладовщик / Комплектовщик;Ревда;Пятёрочка;
Менеджер по работе с юридическими лицами;Екатеринбург;Уральский информационный центр;
Водитель автобуса регулярных пассажирских маршрутов;Екатеринбург;ГУП Мосгортранс;
